date,signal,public_value,market_health_interpretation,source,source_url
2021-05-08,XVS collateral factor increased,60% to 80%,Higher borrow capacity reduced the buffer before liquidation stress,Risk DAO,https://medium.com/risk-dao/on-insolvency-tackling-bad-debt-in-defi-6c2ac5028348
2021-05-18,XVS price surge,about $80 to $145 in 3 hours,External mark price temporarily opened large XVS-backed borrowing capacity,Risk DAO,https://medium.com/risk-dao/on-insolvency-tackling-bad-debt-in-defi-6c2ac5028348
2021-05-18,Borrowed assets during price surge,large BTC and ETH borrowing reported,Debt side was more liquid and less reflexive than XVS collateral,Messari,https://messari.io/report/venus-money-market-and-synthetic-stablecoin-protocol-on-bnb-chain
2021-05-18,XVS price reversal,back toward $80 over roughly 3 to 4 hours,Collateral value collapsed before liquidations could fully cover debt,Risk DAO and Messari,https://medium.com/risk-dao/on-insolvency-tackling-bad-debt-in-defi-6c2ac5028348
2021-05-19,Liquidation volume,more than $200M,Liquidations became a market-impact event rather than a clean solvency repair,The Block,https://www.theblock.co/post/105301/bsc-venus-protocol-liquidations-xvs-token-possible-price-manipulation
2021-05-19,Immediate bad debt estimate,more than $95M,Protocol shortfall remained after collateral was sold into stressed liquidity,The Block,https://www.theblock.co/post/105301/bsc-venus-protocol-liquidations-xvs-token-possible-price-manipulation
2021-05-20,Community incident signal,more than $200M liquidations and more than $100M bad debt,Public monitoring identified the event as XVS price manipulation and protocol-level bad debt,Venus Community,https://community.venus.io/t/manipulation-of-xvs-and-rug/725
2022-09-19,Residual bad debt dashboard estimate,around $62.3M,Accounting value declined but insolvency residue remained long after the event,Risk DAO,https://medium.com/risk-dao/on-insolvency-tackling-bad-debt-in-defi-6c2ac5028348
2022-12-21,Venus TVL drawdown context,over $15B peak supply value to about $3B by month end,Depositor confidence and available liquidity fell after the liquidation event,Messari,https://messari.io/report/venus-money-market-and-synthetic-stablecoin-protocol-on-bnb-chain
2022-12-21,Later bad debt estimate,around $58M at current prices,Residual loss accounting was price-sensitive but still material,Messari,https://messari.io/report/venus-money-market-and-synthetic-stablecoin-protocol-on-bnb-chain
