tx_hash,block_number,tx_index,log_count,net_wbnb,net_burger,net_usdt,net_xburger,net_busd,net_eth,net_rocki
0xac8a739c1f668b13d065d56a03c37a686e0aa1c9339e79fcbc5a2d0a6311e333,7781160,9,124,2401.666718,110562.238468,0,0,0,0,0
0x40aef37b32748b1eb0e6eff69e2cdb1dbe8f169c8248bf20bf6c29998c1a07da,7781205,12,376,620.844366,28115.720559,0,0,0,0,0
0x943cd050af7f9f61243ada4e327b6606bf49ac01d92c86f70f0a6ec7bc2044da,7781210,6,128,0,90708.925439,736400.738731,0,0,0,0
0x7ba354214b25cedd9ed18c034b8a110c1f04dadcb0aab1ea8be363eaf6d03eb9,7781214,10,384,0,23067.069147,190363.736284,0,0,0,0
0x655eab143487a82a540ca122a9fcf7536cca58962c4212307915f83937c3be33,7781220,7,376,0,156074.159385,0,90626.618253,0,0,0
0xde04b4785c3c157b0d7efd717d91828176b885da44317092bf69ccd1f631164d,7781225,30,272,1333.196478,-1.999993,0,34514.80877,0,0,0
0xcf51d68653d9776dfc40e0db3aba2a6f1c63bf48a4266bd94280235e63d7c9dc,7781231,6,276,0,-1.999993,500020.126107,34972.91133,0,0,0
0x4bdfcac1a0a8e836aaa00d165dc0d1873761bd46a574c3d09838d40333eb0e34,7781236,10,384,0,867.170893,0,0,0,2.594824,0
0x28393240efab07f62f0ec3ac96060eae2e6bfd41ad37224d902b3ac6923be5c9,7781242,3,288,0,2611.292702,0,0,22163.839969,0,0
0xb63a3576ef18e483bb0135f999d1fd54a5530bbf27023a54c61dbd877de328de,7781247,22,384,0,20875.044809,0,0,0,0,95168.83305
0x0c24adf9e10ba7e133efd5544f1a3a4f93476898e266e1c7b2f393467bdacd40,7781487,79,113,51.865737,-0.999996,0,-3254.046289,0,0,0
0x333ce235762dbc1089cbcdcc8590f22b38c888ed2c2cb9dd1263afcb5f679c3d,7781509,123,113,3.819881,-0.999996,0,-1841.976959,0,0,0
0x2e1c226db4e8df3e08810ee96c35af355f1360487b180f726615b6191969beac,7781637,95,113,0,-0.999996,4976.429907,-12888.608559,0,0,0
