event_date,event,entities,reported_metric,market_health_signal,source
2017 to 2020,Funds operated,Virgil Sigma Fund; VQR Multistrategy Fund; Stefan Qin,DOJ said Qin operated two cryptocurrency hedge funds with more than 100 million USD in investments,Multi-year fund records needed custody and exchange validation,DOJ guilty plea release
2017 to 2020,Arbitrage strategy marketed,Virgil Sigma Fund,Crypto arbitrage strategy was presented as market-neutral and not exposed to crypto price direction,Arbitrage claims required paired trade and transfer evidence,DOJ guilty plea release
2020-07,Redemption transfer narrative begins,Virgil Sigma Fund; VQR Multistrategy Fund,SEC said Sigma investors requesting redemptions were told interests would be transferred to VQR,Inter-fund transfer claims signaled liquidity stress,SEC litigation release 24997
2020-12,Qin attempted related-fund asset movement,Stefan Qin; VQR; Virgil Sigma,SEC alleged Qin was attempting to misappropriate or divert millions of dollars from investor assets,Related-fund asset movement threatened customer recoveries,SEC litigation release 25342
2020-12-22,SEC emergency action filed,SEC; Stefan Qin; Virgil Capital,SEC filed emergency action alleging misrepresentations about strategy assets performance and financial condition,Public enforcement challenged fund assets and strategy claims,SEC litigation release 24997
2020-12-23,Asset freeze entered,Stefan Qin; Virgil Capital,SEC said court entered an asset freeze,Emergency relief preserved remaining assets,SEC litigation release 25342
2021-02-04,Guilty plea announced,Stefan Qin,DOJ announced securities-fraud guilty plea in 90 million USD cryptocurrency hedge fund fraud,Criminal admission supported the fund-fraud narrative,DOJ guilty plea release
2021-09-15,Criminal sentence announced,Stefan Qin,DOJ announced 90 months prison three years supervised release and 54793532 USD forfeiture,Criminal sentence quantified punishment and forfeiture,DOJ sentencing release
2022-03-02,SEC final judgment entered,Stefan Qin; SEC,SEC said court entered final judgment concluding the SEC case,SEC case concluded with injunction and disgorgement judgment,SEC litigation release 25342
2022-03-09,SEC final judgment announced,SEC; Stefan Qin,SEC announced final judgment against operator of fraudulent digital asset trading fund,Public final release closed civil enforcement case,SEC litigation release 25342
