date_utc,event,asset_or_market,metric,value,source_url,notes
2022-05-12T09:20:00Z,oracle suspension,LUNA/USD Chainlink feed,paused_feed_price_usd,0.107,https://medium.com/venusprotocol/venus-protocol-luna-incident-update-2-c334475d9214,Venus reported Chainlink's LUNA feed hit a price floor threshold and was suspended at 0.107 USD
2022-05-12T13:20:00Z,price disparity,LUNA spot market,spot_price_usd_approx,0.01,https://medium.com/venusprotocol/venus-protocol-luna-incident-update-2-c334475d9214,Venus said the spot price was about 0.01 USD around four hours after the feed suspension
2022-05-12T13:20:00Z,price disparity,LUNA collateral valuation,oracle_to_spot_multiple,10.7,https://medium.com/venusprotocol/venus-protocol-luna-incident-update-2-c334475d9214,Calculated as 0.107 divided by 0.01 using Venus's reported feed and spot values
2022-05-12T15:15:00Z,protocol mitigation,Venus Protocol,protocol_pause_time_utc,15.25,https://medium.com/venusprotocol/venus-protocol-luna-incident-update-2-c334475d9214,Venus reported pausing the protocol at approximately 15:15 UTC using PauseGuardian via multisig
2022-05-12,borrow shortfall,Venus Protocol,initial_shortfall_usd,14200000,https://medium.com/venusprotocol/venus-protocol-luna-incident-update-2-c334475d9214,Venus reported about 14.2 million USD of shortfall across affected accounts after the initial tally
2022-05-12,risk fund,Venus Risk Fund,risk_fund_balance_usd,15000000,https://medium.com/venusprotocol/venus-protocol-luna-incident-update-2-c334475d9214,Venus said its 15 million USD risk fund would pay down the shortfall over time
2022-05-12,suspicious accounts,LUNA market,suspicious_account_count,3,https://medium.com/venusprotocol/venus-protocol-luna-incident-update-2-c334475d9214,Venus listed three suspicious addresses associated with large LUNA deposits
2022-05-12,large deposits,LUNA market,reported_deposited_luna,230000000,https://beincrypto.com/venus-protocol-loses-11m-chainlink-suspension-luna-price-oracle/,BeInCrypto reported two accounts deposited about 230 million LUNA during the desync event
2022-05-12,large deposits,LUNA market,reported_deposit_value_on_venus_usd,24000000,https://beincrypto.com/venus-protocol-loses-11m-chainlink-suspension-luna-price-oracle/,BeInCrypto reported the deposited LUNA was valued at over 24 million USD at the stale Venus price
2022-05-12,borrow extraction,LUNA market,reported_borrowed_assets_usd,13500000,https://beincrypto.com/venus-protocol-loses-11m-chainlink-suspension-luna-price-oracle/,BeInCrypto reported borrowed assets totaling around 13.5 million USD
2022-05-13,external loss estimate,Venus Protocol,reported_loss_usd,11200000,https://www.halborn.com/blog/post/explained-the-luna-price-dip-exploits-may-2022,Halborn summarized Venus Finance's estimated loss at about 11.2 million USD
2022-05-14,governance response,LUNA and UST markets,collateral_factor_after_vip61,0,https://medium.com/venusprotocol/venus-luna-incident-update-3-resuming-the-protocol-ff059a914405,VIP-61 set LUNA and UST collateral factors to zero as part of offboarding
