"source","scope","metric","value","notes","url"
"Dune Analytics","Ethereum NFT markets","Share of total NFT volume attributed to wash trades in 2022","58%","Dune wash-trade filters on Ethereum NFT trades","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","Ethereum NFT markets","Share of traded volume attributed to wash trades across analysed history","Almost 45%","Dune summary of total Ethereum NFT volume after applying four filters","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","Ethereum NFT markets","Cumulative wash-trading volume","Over 30B USD","Aggregate Ethereum NFT wash-trading estimate","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","Ethereum NFT markets","Share of trades classified as wash trades","About 1.5%","Small trade-count share created large volume distortion","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","LooksRare marketplace","Estimated wash-trade share of volume","98%","Marketplace-level volume concentration in wash trades","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","X2Y2 marketplace","Estimated wash-trade share of volume","87%","Marketplace-level volume concentration in wash trades","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Chainalysis","NFT self-financing clusters","Users with more than 25 sales to self-financed addresses","262","Wallet funding graph method","https://www.chainalysis.com/blog/2022-crypto-crime-report-preview-nft-wash-trading-money-laundering/"
"Chainalysis","NFT self-financing clusters","Maximum self-financed sales by one seller","830","Illustrative high-repeat cluster","https://www.chainalysis.com/blog/2022-crypto-crime-report-preview-nft-wash-trading-money-laundering/"
"Chainalysis","Successful NFT wash traders","Aggregate profit","Nearly 8.9M USD","Profitable subset after gas and marketplace costs","https://www.chainalysis.com/blog/2022-crypto-crime-report-preview-nft-wash-trading-money-laundering/"
"von Wachter et al.","52 large NFT collections","Addresses triggering suspicious-market-abuse signals","3.93%","January 2018 to mid-November 2021 study sample","https://arxiv.org/abs/2202.03866"
"von Wachter et al.","52 large NFT collections","Sale transactions triggering suspicious-market-abuse signals","2.04%","January 2018 to mid-November 2021 study sample","https://arxiv.org/abs/2202.03866"
"von Wachter et al.","52 large NFT collections","Potentially inflated volume in study period","Up to 149.5M USD","Lower-bound estimate from suspicious patterns","https://arxiv.org/abs/2202.03866"
