t,o,h,l,c,v
2026-05-01 00:00:00+00:00,0.248,0.2603,0.2474,0.256,11639.583794
2026-05-02 00:00:00+00:00,0.2559,0.257,0.2517,0.2548,15646.583826
2026-05-03 00:00:00+00:00,0.2545,0.2595,0.2539,0.2566,17278.578672
2026-05-04 00:00:00+00:00,0.2558,0.2589,0.2529,0.2547,17136.242842
2026-05-05 00:00:00+00:00,0.2537,0.2591,0.2523,0.2586,13488.276266
2026-05-06 00:00:00+00:00,0.258,0.2612,0.2569,0.2604,15359.575643
2026-05-07 00:00:00+00:00,0.2596,0.2612,0.2559,0.259,15146.033144
2026-05-08 00:00:00+00:00,0.259,0.2611,0.2532,0.2601,11917.132645
2026-05-09 00:00:00+00:00,0.26,0.2617,0.2565,0.2613,15549.974687
2026-05-10 00:00:00+00:00,0.258,0.2691,0.2577,0.2688,23773.774697
2026-05-11 00:00:00+00:00,0.2663,0.2741,0.2639,0.271,24864.899792
2026-05-12 00:00:00+00:00,0.2697,0.2741,0.2594,0.2631,17039.769324
2026-05-13 00:00:00+00:00,0.2616,0.2654,0.2555,0.2587,11779.8662
2026-05-14 00:00:00+00:00,0.258,0.2616,0.253,0.2586,13954.126702
2026-05-15 00:00:00+00:00,0.2588,0.2601,0.2481,0.2516,12113.271022
2026-05-16 00:00:00+00:00,0.2516,0.2638,0.2466,0.2503,20675.535263
2026-05-17 00:00:00+00:00,0.2493,0.2509,0.2451,0.2475,10823.312807
2026-05-18 00:00:00+00:00,0.2471,0.2491,0.2435,0.248,12480.944061
2026-05-19 00:00:00+00:00,0.247,0.2491,0.243,0.245,10441.535723
2026-05-20 00:00:00+00:00,0.2453,0.2494,0.2437,0.2484,11700.449301
2026-05-21 00:00:00+00:00,0.2474,0.2493,0.2456,0.2489,13066.733231
2026-05-22 00:00:00+00:00,0.2488,0.2512,0.2456,0.247,11758.112525
2026-05-23 00:00:00+00:00,0.2461,0.2504,0.2423,0.2501,11625.365212
2026-05-24 00:00:00+00:00,0.2487,0.2512,0.2468,0.2496,12816.140796
2026-05-25 00:00:00+00:00,0.2484,0.2518,0.248,0.2503,12697.539085
2026-05-26 00:00:00+00:00,0.2494,0.2598,0.2447,0.247,19825.374154
2026-05-27 00:00:00+00:00,0.2461,0.2488,0.2422,0.2439,11010.285704
2026-05-28 00:00:00+00:00,0.2428,0.248,0.2353,0.2412,15308.064245
2026-05-29 00:00:00+00:00,0.2403,0.2406,0.2349,0.2392,12456.46415
2026-05-30 00:00:00+00:00,0.2384,0.2426,0.2364,0.2409,11185.520614
2026-05-31 00:00:00+00:00,0.2397,0.2479,0.2392,0.2455,13752.689604
