rank,quantity,trade_count,trade_share,quote_volume_usdt
1,6788,2545,0.156375,36996.82
2,6888,2520,0.154839,37212.01
3,2686.2,25,0.001536,143.68
4,2824,22,0.001352,132.27
5,2821,20,0.001229,120.13
6,38465,19,0.001167,1563.6
7,2796,19,0.001167,114.07
8,3530,18,0.001106,139.0
9,2789,17,0.001045,102.13
10,6409,17,0.001045,231.7
11,4522,17,0.001045,167.89
12,4771,16,0.000983,163.13
13,2981,14,0.00086,89.02
14,4405,14,0.00086,131.72
15,3425,14,0.00086,104.25
16,3219,13,0.000799,89.85
17,6107,13,0.000799,168.39
18,3964,13,0.000799,110.01
19,0.1,12,0.000737,0.0
20,3414,12,0.000737,89.79
