t,two_second_share
2026-05-01,0.8377
2026-05-02,0.7883
2026-05-03,0.8232
2026-05-04,0.8284
2026-05-05,0.753
2026-05-06,0.6701
2026-05-07,0.7392
2026-05-08,0.8008
2026-05-09,0.7919
2026-05-10,0.5263
2026-05-11,0.4722
2026-05-12,0.6149
2026-05-13,0.8481
2026-05-14,0.7964
2026-05-15,0.73
2026-05-16,0.5674
2026-05-17,0.8769
2026-05-18,0.6893
2026-05-19,0.5183
2026-05-20,0.7562
2026-05-21,0.7925
2026-05-22,0.8751
2026-05-23,0.8349
2026-05-24,0.8261
2026-05-25,0.7891
2026-05-26,0.7141
2026-05-27,0.9087
2026-05-28,0.7844
2026-05-29,0.7974
2026-05-30,0.907
2026-05-31,0.7556
