hour_utc,trade_count,quote_volume_usdt,dominant_lot_trade_count,dominant_lot_trade_share,dominant_lot_quote_volume_usdt,dominant_lot_quote_volume_share
0,314,25953.44,152,0.484076,6415.68,0.2472
1,269,23623.31,107,0.39777,4411.55,0.186746
2,454,75356.46,238,0.524229,10290.86,0.136562
3,568,57982.43,270,0.475352,11222.98,0.193558
4,957,116747.12,383,0.400209,17192.12,0.147259
5,966,86984.72,605,0.626294,26151.64,0.300646
6,628,102515.1,398,0.633758,17578.09,0.171468
7,478,38147.23,302,0.631799,13211.98,0.346342
8,351,40672.33,149,0.424501,5831.64,0.143381
9,385,59237.46,173,0.449351,8068.28,0.136202
10,556,47144.13,358,0.643885,15889.57,0.337042
11,469,39932.27,257,0.547974,11441.05,0.286511
12,1008,75405.4,700,0.694444,31005.26,0.411181
13,499,34208.38,301,0.603206,13830.64,0.404306
14,1017,173553.33,452,0.444444,21366.13,0.12311
15,771,125556.29,432,0.560311,20898.17,0.166445
16,385,70699.4,191,0.496104,9681.19,0.136935
17,615,64156.11,381,0.619512,17993.24,0.28046
18,294,28930.62,53,0.180272,2502.85,0.086512
19,201,27193.72,86,0.427861,3943.77,0.145025
20,262,22735.24,105,0.400763,4909.37,0.215937
21,128,18564.44,57,0.445312,2522.88,0.135899
22,156,23016.84,72,0.461538,3373.2,0.146554
23,131,9136.11,76,0.580153,3389.14,0.370961
